location,forecast_datetime,apparent_temperature,precipitation_probability,humidity,wind_speed
New York City,2026-05-12 00:00,55.6,0,32,2.1
New York City,2026-05-12 01:00,54.2,0,45,2.8
New York City,2026-05-12 02:00,54.0,2,52,2.0
New York City,2026-05-12 03:00,51.7,2,46,4.5
New York City,2026-05-12 04:00,48.0,2,48,8.6
New York City,2026-05-12 05:00,43.5,1,54,10.3
New York City,2026-05-12 06:00,44.1,1,60,7.9
New York City,2026-05-12 07:00,44.6,0,63,6.0
New York City,2026-05-12 08:00,42.6,0,59,6.3
New York City,2026-05-12 09:00,39.9,0,63,5.2
New York City,2026-05-12 10:00,37.5,0,68,5.4
New York City,2026-05-12 11:00,39.2,0,55,8.1
New York City,2026-05-12 12:00,42.4,0,50,9.6
New York City,2026-05-12 13:00,45.7,0,44,9.8
New York City,2026-05-12 14:00,50.6,0,38,8.1
New York City,2026-05-12 15:00,55.0,0,33,7.0
New York City,2026-05-12 16:00,58.5,0,28,6.5
New York City,2026-05-12 17:00,60.7,0,25,6.5
New York City,2026-05-12 18:00,61.5,0,23,7.6
New York City,2026-05-12 19:00,62.4,0,22,6.5
New York City,2026-05-12 20:00,61.9,0,21,6.0
New York City,2026-05-12 21:00,58.0,0,23,8.8
New York City,2026-05-12 22:00,52.9,0,36,11.8
New York City,2026-05-12 23:00,50.2,0,43,11.7
Philadelphia,2026-05-12 00:00,53.2,0,28,4.2
Philadelphia,2026-05-12 01:00,49.7,0,34,5.0
Philadelphia,2026-05-12 02:00,47.6,0,39,5.0
Philadelphia,2026-05-12 03:00,48.2,0,42,3.6
Philadelphia,2026-05-12 04:00,45.9,1,43,7.9
Philadelphia,2026-05-12 05:00,45.5,0,51,7.9
Philadelphia,2026-05-12 06:00,43.2,0,54,9.7
Philadelphia,2026-05-12 07:00,42.6,0,61,6.2
Philadelphia,2026-05-12 08:00,41.2,0,59,3.9
Philadelphia,2026-05-12 09:00,39.1,0,56,4.3
Philadelphia,2026-05-12 10:00,37.2,0,59,4.5
Philadelphia,2026-05-12 11:00,40.4,0,56,7.3
Philadelphia,2026-05-12 12:00,42.4,0,48,8.7
Philadelphia,2026-05-12 13:00,46.0,0,39,8.2
Philadelphia,2026-05-12 14:00,50.7,0,31,7.1
Philadelphia,2026-05-12 15:00,54.7,0,27,7.2
Philadelphia,2026-05-12 16:00,58.1,0,24,7.3
Philadelphia,2026-05-12 17:00,61.7,0,23,6.0
Philadelphia,2026-05-12 18:00,62.8,0,21,6.9
Philadelphia,2026-05-12 19:00,64.0,0,20,5.6
Philadelphia,2026-05-12 20:00,63.9,0,19,5.1
Philadelphia,2026-05-12 21:00,62.7,0,21,5.1
Philadelphia,2026-05-12 22:00,62.0,0,22,5.0
Philadelphia,2026-05-12 23:00,61.3,0,24,4.7
Bucks County,2026-05-12 00:00,50.1,0,38,5.2
Bucks County,2026-05-12 01:00,46.7,0,41,5.4
Bucks County,2026-05-12 02:00,45.0,0,43,5.6
Bucks County,2026-05-12 03:00,45.8,3,45,6.7
Bucks County,2026-05-12 04:00,45.6,1,58,7.0
Bucks County,2026-05-12 05:00,42.3,0,56,8.9
Bucks County,2026-05-12 06:00,39.4,0,61,10.2
Bucks County,2026-05-12 07:00,37.4,0,53,10.3
Bucks County,2026-05-12 08:00,35.7,0,52,10.2
Bucks County,2026-05-12 09:00,34.5,0,55,9.0
Bucks County,2026-05-12 10:00,33.3,0,58,7.6
Bucks County,2026-05-12 11:00,37.1,0,55,8.1
Bucks County,2026-05-12 12:00,40.0,0,47,9.6
Bucks County,2026-05-12 13:00,43.2,0,42,9.6
Bucks County,2026-05-12 14:00,47.8,0,37,8.2
Bucks County,2026-05-12 15:00,52.5,0,33,6.7
Bucks County,2026-05-12 16:00,56.3,0,30,6.5
Bucks County,2026-05-12 17:00,59.2,0,27,5.8
Bucks County,2026-05-12 18:00,60.5,0,24,6.7
Bucks County,2026-05-12 19:00,61.3,0,22,6.0
Bucks County,2026-05-12 20:00,60.9,0,22,5.9
Bucks County,2026-05-12 21:00,58.4,0,22,7.9
Bucks County,2026-05-12 22:00,58.0,0,23,6.8
Bucks County,2026-05-12 23:00,58.4,0,25,4.0
